data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
7159898,804,UKR39416,39416,"10 July 2020",2020,1,Protests,"Peaceful protest","Protesters (Ukraine)","National Corps Party; Government of Ukraine (2019-)",6,,,0,60,Europe,Ukraine,Chernivtsi,Chernivetskyi,Chernivetska,Chernivtsi,48.2915,25.9403,1,"Segodnya; National Corps",Other-National,"On 10 July 2020, several dozen people, including members of National Corps and the city mayor, protested in Chernivtsi demanding better roads in the city. [size=several dozen]",0,1618500249,UKR
7159904,804,UKR39400,39400,"10 July 2020",2020,1,Protests,"Peaceful protest","Protesters (Ukraine)","Labour Group (Ukraine)",6,,,0,60,Europe,Ukraine,Kharkiv,Kharkivskyi,Kharkivska,Kharkiv,49.9808,36.2527,1,"24 Channel",National,"On 10 July 2020, about 50 workers of the city's metro protested in Kharkiv demanding the payment of wages. The protesters also complain that they are forced to participate in canvassing in support of the city's mayor. [size=about 50]",0,1618500250,UKR
7159959,804,UKR39299,39299,"10 July 2020",2020,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Ukraine (2019-)",,1,"NAF: United Armed Forces of Novorossiya","Donbass People's Militia",2,12,Europe,Ukraine,Donetsk,Bakhmutskyi,Svitlodarska,Dolomytne,48.416,38.1346,2,"DPR Armed Forces Press Service",Other,"On 10 July 2020, the Ukrainian Forces fired 120mm mortars at the positions of the Donbass People's Militia in the area of Dolomytne, Donetsk.",0,1618500254,UKR
7159960,804,UKR39301,39301,"10 July 2020",2020,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Ukraine (2019-)",,1,"NAF: United Armed Forces of Novorossiya","Donbass People's Militia",2,12,Europe,Ukraine,Donetsk,Donetskyi,Yasynuvatska,Mineralne,48.0996,37.8254,2,"DPR Armed Forces Press Service",Other,"On 10 July 2020, the Ukrainian Forces fired 82mm mortars at the positions of the Donbass People's Militia in the area of Mineralne, Donetsk.",0,1618500254,UKR
7159961,804,UKR39303,39303,"10 July 2020",2020,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Ukraine (2019-)",,1,"NAF: United Armed Forces of Novorossiya","Donbass People's Militia",2,12,Europe,Ukraine,Donetsk,Kalmiuskyi,Novoazovska,Uzhivka,47.1446,37.8563,2,"DPR Armed Forces Press Service",Other,"On 10 July 2020, the Ukrainian Forces fired 82mm mortars at the positions of the Donbass People's Militia in the area of Uzhivka, Donetsk.",0,1618500254,UKR
7159987,804,UKR39223,39223,"10 July 2020",2020,1,Battles,"Armed clash","Military Forces of Ukraine (2019-)",,1,"NAF: United Armed Forces of Novorossiya","Luhansk People's Militia",2,12,Europe,Ukraine,Donetsk,Horlivskyi,Debaltsivska,"Nyzhnye Lozove",48.3986,38.3549,2,"LPR People's Militia Press Service",Other,"On 10 July 2020, the Ukrainian Forces fired small arms at the positions of the Luhansk People's Militia in the area of Nyzhnye Lozove, Donetsk.",0,1618500256,UKR
7160093,804,UKR39353,39353,"10 July 2020",2020,1,Battles,"Armed clash","Military Forces of Ukraine (2019-)",,1,"NAF: United Armed Forces of Novorossiya",,2,12,Europe,Ukraine,Donetsk,Donetskyi,Yasynuvatska,"Donetsk Filtration Station",48.1331,37.808,2,"OSCE SMM-Ukraine",Other,"On 10 July 2020, the OSCE SMM observed a total of 173 projectiles/explosions/shots/bursts of fire involving small arms/mortars/unknown weapons near Donetsk Filtration Station.",0,1618500242,UKR
7160094,804,UKR39354,39354,"10 July 2020",2020,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Ukraine (2019-)",,1,,,0,10,Europe,Ukraine,Luhansk,Sievierodonetskyi,Hirska,Zolote-5,48.6719,38.56,2,"OSCE SMM-Ukraine",Other,"On 10 July 2020, the OSCE SMM observed a total of 109 explosions/bursts of fire involving heavy machineguns/unknown weapons near Zolote-5.",0,1618500242,UKR
7160095,804,UKR39355,39355,"10 July 2020",2020,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Ukraine (2019-)",,1,,,0,10,Europe,Ukraine,Luhansk,Alchevskyi,Kadiivska,Berezivske,48.6712,38.6027,2,"OSCE SMM-Ukraine",Other,"On 10 July 2020, the OSCE SMM observed a total of 5 explosions involving unknown weapons near Berezivske.",0,1618500242,UKR
7160097,804,UKR39357,39357,"10 July 2020",2020,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Ukraine (2019-)",,1,,,0,10,Europe,Ukraine,Donetsk,Kalmiuskyi,Novoazovska,Verkhnyoshyrokivske,47.2352,37.8638,2,"OSCE SMM-Ukraine",Other,"On 10 July 2020, the OSCE SMM observed a total of 23 projectiles/shots involving unknown weapons near Verkhnyoshyrokivske.",0,1618500243,UKR
